Depth,ROP(1 ft),WOB (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),ROP(1 min),Hookload (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gpm),Flow Out %,WH Pressure (psi),H2S Floor,H2S Cellar,H2S Pits
278.28,151.69,0,102.14,100.02,178.55,440.08,70.46,43.82,9.85,0,1036.5,85.42,-1231.83,-0.01,-0.01,0.24
279.37,74.42,0,101.95,100.1,178.52,434.36,69.17,65.01,9.89,0,1031.42,82.44,-1231.83,0,-0.01,0.25
280.38,133.55,0,102.03,100.14,178.82,433.98,87.89,66.46,9.89,0,1031.01,82.27,-1231.45,-0.01,-0.01,0.25
281.44,159.64,0,102.1,100.14,178.23,436.27,105.1,67,9.92,0,1034.47,82.6,-1231.45,0,-0.01,0.26
282.57,253.53,0,102.1,100.1,178.2,435.13,125.65,68.52,9.92,0,1025.93,78.78,-1231.45,0,0.01,0.27
283.63,239.46,0,102.18,99.98,177.83,430.55,144.84,72.56,9.92,0,1023.08,80.71,-1231.45,-0.01,0,0.25
284.63,124.35,0,102.22,100.25,177.74,427.12,141.78,67.68,10,0,1021.45,80.48,-1231.83,-0.01,0,0.25
285.7,166.58,0,102.26,100.25,177.44,427.12,144.28,65.85,10,0,1017.38,79.71,-1231.45,0,0.01,0.26
286.71,58.22,6.08,102.33,100.06,186.4,452.66,19.5,74.32,11.22,0,1037.12,94.6,-1231.45,0,-0.03,0.29
287.72,231.99,3.64,102.26,100.14,186.4,454.57,50.28,76.76,11.26,0,1039.55,95.02,-1231.45,0,-0.03,0.29
